"city","floor","listing_id","listing_title","listing_url","neighborhood","num_bathrooms","num_rooms","price_dh","price_per_m2","property_type","scraped_at","standing","state","surface_m2","transaction_type"
"marrakech","1","8316781","Appartement sécurisé avec piscine vue dégagée","https://www.mubawab.ma/fr/a/8316781/appartement-s%C3%A9curis%C3%A9-avec-piscine-vue-d%C3%A9gag%C3%A9e","ennakhil (palmeraie)","2","3","2100000","24418.6","appartement","2026-03-28T20:27:02.857Z","","etat_bon_/_habitable","86","unknown"
"casablanca","5","8319794","Sans Agence: Appart Meublé 120m² Bourgogne","https://www.mubawab.ma/fr/a/8319794/sans-agence-appart-meubl%C3%A9-120m%C2%B2-bourgogne","bourgogne ouest","3","4","14500","120.83","appartement","2026-03-28T20:27:05.240Z","","jamais_habite_/_renove","120","unknown"
"marrakech",,"8313206","URGENT / Duplex à Victor Hugo avec grande cour intérieure","https://www.mubawab.ma/fr/a/8313206/urgent-duplex-%C3%A0-victor-hugo-avec-grande-cour-int%C3%A9rieure","camp al ghoul","2","5","2850000","16863.91","appartement","2026-03-28T20:27:09.146Z","","projet_neuf","169","unknown"
"casablanca","4","8315587","Joli Duplex au dernier étage / belle residence","https://www.mubawab.ma/fr/a/8315587/joli-duplex-au-dernier-%C3%A9tage-belle-residence","mers sultan","3","3","1950000","14552.24","appartement","2026-03-28T20:27:10.348Z","","etat_bon_/_habitable","134","unknown"
"casablanca",,"8272115","Duplex 4 chambres avec jardin privé","https://www.mubawab.ma/fr/a/8272115/duplex-4-chambres-avec-jardin-priv%C3%A9","californie","3","6","4000000","16129.03","appartement","2026-03-28T20:27:10.568Z","","etat_bon_/_habitable","248","unknown"
"casablanca","1","8265307","Gauthier, 3 ch. Grande Terrasse ensoleillée","https://www.mubawab.ma/fr/a/8265307/gauthier-3-ch-grande-terrasse-ensoleill%C3%A9e","gauthier","1","4","1650000","13983.05","appartement","2026-03-28T20:27:12.956Z","","etat_bon_/_habitable","118","unknown"
"marrakech","2","8306713","Appartement à vendre à Victor Hugo 4 pièces. Ascenseur et parking","https://www.mubawab.ma/fr/a/8306713/appartement-%C3%A0-vendre-%C3%A0-victor-hugo-4-pi%C3%A8ces-ascenseur-et-parking","camp al ghoul","1","4","1800000","15384.62","appartement","2026-03-28T20:27:15.338Z","","etat_bon_/_habitable","117","vente"
"casablanca",,"8263830","Appartement neuf à vendre Les Jardins de Bali à Quartier Bachkou","https://www.mubawab.ma/fr/a/8263830/appartement-neuf-%C3%A0-vendre-les-jardins-de-bali-%C3%A0-quartier-bachkou","quartier bachkou","1",,"1050000","17500","appartement","2026-03-28T20:27:17.065Z","","etat_bon_/_habitable","60","vente"
"marrakech","2","8283929","Appartement À Vendre Coralia Les Orangers","https://www.mubawab.ma/fr/a/8283929/appartement-%C3%A0-vendre-coralia-les-orangers","agdal","2","4","1950000","21195.65","appartement","2026-03-28T20:27:18.283Z","","etat_bon_/_habitable","92","vente"
"marrakech",,"8275899","A Vendre Appartement Duplex Centre Ville Gueliz","https://www.mubawab.ma/fr/a/8275899/a-vendre-appartement-duplex-centre-ville-gueliz","majorelle","2","5","1700000","14166.67","appartement","2026-03-28T20:27:21.241Z","","projet_neuf","120","vente"
"marrakech","2","8249484","Appartement en vente à Azli. 3 grandes pièces. Bien meublé","https://www.mubawab.ma/fr/a/8249484/appartement-en-vente-%C3%A0-azli-3-grandes-pi%C3%A8ces-bien-meubl%C3%A9","azli","1","3","6000000","103448.28","appartement","2026-03-28T20:27:28.379Z","","etat_bon_/_habitable","58","vente"
"marrakech","1","8207025","Appartement meublé, grande terrasse à Gueliz","https://www.mubawab.ma/fr/a/8207025/appartement-meubl%C3%A9-grande-terrasse-%C3%A0-gueliz","gueliz","1","4","1790000","19888.89","appartement","2026-03-28T20:27:30.776Z","","jamais_habite_/_renove","90","unknown"
"marrakech",,"8203192","Studio et duplex à L'hivernage avec piscine","https://www.mubawab.ma/fr/a/8203192/studio-et-duplex-%C3%A0-l-hivernage-avec-piscine","hivernage","1","2","1080000","24000","appartement","2026-03-28T20:27:33.268Z","","projet_neuf","45","unknown"
"rabat","3","8308443","Appartement à vendre à Agdal. 3 chambres agréables. Cuisine bien équipée","https://www.mubawab.ma/fr/a/8308443/appartement-%C3%A0-vendre-%C3%A0-agdal-3-chambres-agr%C3%A9ables-cuisine-bien-%C3%A9quip%C3%A9e","agdal","3","4","2900000","18831.17","appartement","2026-03-28T20:27:40.053Z","","etat_bon_/_habitable","154","vente"
"rabat",,"8316848","Appartement de standing à vendre plein centre de l'agdal","https://www.mubawab.ma/fr/a/8316848/appartement-de-standing-%C3%A0-vendre-plein-centre-de-l-agdal","agdal","2","3","3400000","22818.79","appartement","2026-03-28T20:27:42.841Z","","","149","vente"
"rabat","1","8313882","Appartement de luxe en vente À Souissi","https://www.mubawab.ma/fr/a/8313882/appartement-de-luxe-en-vente-%C3%A0-souissi","souissi","4","3","5200000","34210.53","appartement","2026-03-28T20:27:43.977Z","","etat_bon_/_habitable","152","vente"
"agadir",,"8305128","Superbe appartement à vendre à Abattoirs. Surface totale 78 m²","https://www.mubawab.ma/fr/pa/8305128/superbe-appartement-%C3%A0-vendre-%C3%A0-abattoirs-surface-totale-78-m%C2%B2","abattoirs","2","2","1179750","15125","appartement","2026-03-28T20:27:46.200Z","haut_standing","en_cours_de_construction","78","vente"
"rabat",,"8260591","Vente Appartement en Exclusivité à Rabat 
Hay Riad Prestigia","https://www.mubawab.ma/fr/a/8260591/vente-appartement-en-exclusivit%C3%A9-%C3%A0-rabat-hay-riad-prestigia","riyad","2","3","4370000","37672.41","appartement","2026-03-28T20:27:49.169Z","","etat_bon_/_habitable","116","vente"
"agadir",,"8207059","Appartement à l'achat à Hay Houda. 2 chambres agréables","https://www.mubawab.ma/fr/pa/8207059/appartement-%C3%A0-l-achat-%C3%A0-hay-houda-2-chambres-agr%C3%A9ables","hay houda","2","2","1030000","13205.13","appartement","2026-03-28T20:27:49.667Z","haut_standing","en_cours_de_construction","78","unknown"
"rabat","4","8316508","Belle opportunité à saisir rez de jardin neuf en vente","https://www.mubawab.ma/fr/a/8316508/belle-opportunit%C3%A9-%C3%A0-saisir-rez-de-jardin-neuf-en-vente","riyad","2","4","4700000","19583.33","appartement","2026-03-28T20:27:51.780Z","","","240","vente"
"rabat",,"8231183","Appartement à vendre","https://www.mubawab.ma/fr/a/8231183/appartement-%C3%A0-vendre","riyad","3","5",,,"appartement","2026-03-28T20:27:56.447Z","","etat_bon_/_habitable","159","vente"
"agadir",,"8305129","Vente d'un bel appartement à Abattoirs. 2 chambres","https://www.mubawab.ma/fr/pa/8305129/vente-d-un-bel-appartement-%C3%A0-abattoirs-2-chambres","abattoirs","2","2","1047270","16111.85","appartement","2026-03-28T20:27:56.560Z","haut_standing","en_cours_de_construction","65","vente"
